customer_id,email,first_name,middle_initial,last_name,phone,signup_date,last_purchase_date,last_login_date,customer_tier,region,acquisition_channel,gender,age_bracket,top_category,total_revenue,avg_order_value,total_orders,site_visits_30d,emails_opened_30d,cart_abandons,items_in_wishlist,customer_lifetime_days,recency_days,email_subscribed,sms_subscribed,premium_member,at_risk_churn
C0001,james.carter1@email.com,James,H,Carter,555-2679,2023-10-17,2024-02-27,2024-02-19,Silver,Southeast,Social,M,35-44,Clothing,923.76,153.96,6,37,25,3,5,151,18,FALSE,FALSE,FALSE,FALSE
C0002,deborah.thompson2@email.com,Deborah,,Thompson,555-6881,2021-12-05,2024-03-13,2024-02-23,Silver,Northeast,Organic,F,45-54,Home,5206.72,162.71,32,42,19,4,5,832,3,TRUE,FALSE,FALSE,FALSE
C0003,lisa.harris3@email.com,Lisa,M,Harris,555-5374,2023-12-08,2023-12-07,2023-12-26,Gold,West,Social,Prefer not to say,25-34,Sports,1223.9,244.78,5,37,13,0,22,99,100,TRUE,TRUE,TRUE,TRUE
C0004,rebecca.nelson4@email.com,Rebecca,J,Nelson,555-9830,2021-06-22,2024-02-06,2024-03-01,Gold,Northeast,Organic,Prefer not to say,65+,Beauty,6782.1,183.3,37,60,31,2,4,998,39,TRUE,FALSE,TRUE,FALSE
C0005,michelle.nelson5@email.com,Michelle,K,Nelson,555-8433,2020-01-07,2024-01-26,2024-02-15,Platinum,Midwest,Organic,Other,35-44,Home,23540.22,356.67,66,24,24,4,5,1530,50,TRUE,TRUE,FALSE,FALSE
C0006,patricia.thomas6@email.com,Patricia,C,Thomas,,2022-09-22,2024-02-02,2024-02-24,Gold,Southwest,Paid Search,F,18-24,Beauty,7341.18,222.46,33,39,14,5,6,541,43,TRUE,FALSE,FALSE,FALSE
C0007,kenneth.torres7@email.com,Kenneth,H,Torres,,2023-12-20,2024-02-18,2024-03-09,Silver,Midwest,Email,M,65+,Home,308.56,154.28,2,44,23,1,14,87,27,TRUE,FALSE,FALSE,FALSE
C0008,michael.clark8@email.com,Michael,D,Clark,555-4116,2023-01-03,2024-01-27,2024-02-17,Silver,Southwest,Email,M,18-24,Clothing,2540.2,195.4,13,16,25,6,2,438,49,TRUE,FALSE,FALSE,FALSE
C0009,james.sanchez9@email.com,James,R,Sanchez,555-8973,2020-11-13,2023-12-24,2024-02-07,Bronze,Southeast,Referral,Prefer not to say,25-34,Electronics,803.55,73.05,11,31,13,0,10,1219,83,TRUE,FALSE,FALSE,TRUE
C0010,donald.baker10@email.com,Donald,T,Baker,555-5272,2021-02-22,2024-02-28,2024-03-11,Gold,Southeast,Paid Search,M,45-54,Sports,7909.42,232.63,34,49,16,0,15,1118,17,FALSE,FALSE,TRUE,FALSE
